"Amelia, VA",3632
"Greenville, TX",2052
"Function City, KS",0
"South Bend, IN",2919
"East Liver Pool, OH",0
"Dupoint, IL",0
"Bingham, AL",0
"Warren, OH",3368
CT,4040
"Oakland, TN",2626
"Monterey, CA",436
Hometown ,0
"Algiers, LA",0
"Colorado Springs, CO",1313
"Muscovee, OK",0
"Chanute, KS",2090
"Spokane, WA",1517
"Washington, OH",0
"Trenton, TN",2671
"Luther, OK",0
"Bakersfield, CA",163
"Norfold, VA",0
"Charleston, MO",0
"Tuscaloosa, OK",0
"Miller Wells, TX",0
"Athens, GA",3203
"Lawton, OH",0
"Lawton, OK",1824
"San Antonio, TX",1936
OK ,0
"Monessen, PA",3446
"Marshall, TX",2223
"Portsmouth, VA",3787
"Kalispell, MT",1609
"Tuling, TX",0
"Rosemont, VA",0
"Chatanooga, TN",3009
"Mobile, AL",2854
"Houston, TX ",0
"Beaumont, TX",2313
"Memphis, TN",2579
"Pasadena, CA",14
MA,12865
"Alexandria, LA",2431
"Van Buren, AK",0
"Lansing, MI",3071
"Emporia, KS",2035
MN,2437
MI,10702
"Vilksburg, MS",0
"Opelousan, LA",0
MS,2644
"El Centro, CA",286
"Jackson, MS",2614
"Fairmont, VA",0
"Vicksburg, MS",2549
"Colorado City, TX",1628
"Helena, AR",2536
FL,3430
"Indianapolis, IN",2910
"Vicksburg, MO",0
"Butler, MO",2193
"Terrell, TX",2044
"Lincoln, NE",2041
"Rochester, NY",3639
"Segine, TX",0
"Hutchinson, KS",1878
"Alexander, LA",10836
"Prescot, AK",0
"Alberquerque, NM",1069
"San Francisco, CA",560
"Montgomery, AL",2970
"Hampton, VA",3780
"Philadelphia, PA",3830
"Louisville, KY",2943
"Jersey City, NJ",3935
"Tyler, TX",2142
"Portland, OR",1331
SC,3430
"Cheyenne, WY",1421
"Brenham, TX",2101
"Raleigh, NC",3597
"San Angelo, TX",1690
"Jarvis, TX",0
"Pilot Point, TX",0
"Oakland, CA",553
"Japlin, MO",0
"Los Angeles, CA",0
"Longvieew, TX",0
"Grand Rapids, MI",2985
"Tacoma, WA",1512
"Waukegan, IL",2799
"Brenton, TX",0
"Atlantic City, NJ",3917
"Burmingham, AL",0
"Chicago, IL",2808
"Hot Springs, AR",2312
"Cicinnatti, OH",0
"Jacksonville, FL",3454
"Pleasantville, NJ",3909
"Fulton, MO",2406
"Tulsa, OK",2036
"Evanston, IL",2806
"Crowley, LA",2470
"Evergreen, LA",0
"Elkbait, IN",0
"Waco, TX",1991
"Jacksonville, TX",3454
"Laurence, KS",0
"New Albany, IN",2937
"Garde, LA",0
"Kansas City, MO",2183
"Monroe, LA",2431
"Carthage, TX",2235
"Connerville, IN",0
"Pittsberg, PA",0
"Needles, CA",345
"Weir, KS",0
"Pittsburg, PA",3436
"Bossier City, LA",2282
"Springfield, IL",2613
"Glencove, IL",0
"Franklin, IN",2918
"Rome, GA",3035
"Pine Bluff, AR",2412
"Shreveport, LA",2281
"San Pedro, CA",36
"Amarilo, TX",0
"Rushville, IN",2971
"Fairmont, WV",3426
"Tusca, AL",0
"Cantersville, GA",0
"Meudian, MO",0
"Akion, OH",0
"Corpus Christi, TX",2104
"New Boston, TX",2202
"Diesberg, TN",0
"Billings, MT",1546
"Lima, OH",3089
"Paris, TX",2094
"McComb, MS",2616
"Wilmington, CA",30
"Kingsville, TX",2077
"Detroit, MI",3190
"Indinapolis, IN",0
"Huntington, WV",3231
"Port Arthur, TX",2337
"Columbia, SC",3414
"Kalamazoo, MI",2980
"Louisville, MS",2700
"Hillsboro, WI",0
"Rock Springs, WY",1153
"Toledo, OH",3142
"Dallas, TX",1994
"Burbank, CA",16
"Pittsburgh, PA",3436
"Saint Joe, MO",0
"Wichita, KS",1925
"Witchata, KS",0
"Albuquerque, NM",1072
"Baton Rouge, LA",2576
"CArro, IL",0
"Berkeley, CA",559
"Oberlin, OH",3251
"Muskogee, OK",2093
"Warahachie, TX",0
"Phoenix, AZ",575
"Breckimidge, TX",0
KS,1852
"Carro, IL",0
"Buffalo, NY",3535
"Great Bend, KS",1811
KT,13870
KY,12625
"Lake Charles, LA",2392
"Clear View, OK",0
"Pheonix, AZ",575
"Indio, CA",191
"Springfield, MO",2279
"Paola, KS",2150
"Connorville, IN",0
"Springfield, MA",4051
"Saint Paul, MN",2462
"Minneapolis, MN",2452
"Texarkana, TX",2236
